
# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#
#
# Date Retrieved: 2007-11-11 10:27:51 EST
#
parameter_cd	parameter_group_nm	parameter_nm
5s	30s	170s
82262	Physical Property	Street debris smaller than 0.25 millimeters, sieve diameter, percent
82263	Physical Property	Street debris smaller than 0.5 millimeters, sieve diameter, percent
82264	Physical Property	Street debris smaller than 1 millimeter, sieve diameter, percent
82265	Physical Property	Street debris smaller than 2 millimeters, sieve diameter, percent
82266	Physical Property	Street debris smaller than 4 millimeters, sieve diameter, percent
82285	Physical Property	Rate of dry deposition, milligrams per square meter per day
82286	Physical Property	Solids in rainfall, dry weight, milligrams per liter
82300	Physical Property	Snow depth, inches
82301	Physical Property	Sample location, snow course, from beginning marker, feet
82363	Physical Property	Dry deposition, milligrams per square meter
82371	Physical Property	Precipitation within 3 days before sample collection, inches
82372	Physical Property	Precipitation within 14 days before sample collection, inches
82375	Physical Property	Solids, total, accumulation rate, dry weight, grams per square meter per day
82377	Physical Property	Fraction of curb-miles in catchment swept per day
82379	Physical Property	Street solids load removed by sweeping, pounds per curb-mile
82380	Physical Property	Street solids total dry weight, pounds per curb-mile
82381	Physical Property	Precipitation total, inches per storm
82398	Physical Property	Sampling method, code
82463	Physical Property	Residue on evaporation, dried at 105 degrees Celsius, total, dry atmospheric deposition, milligrams per kilogram
82464	Physical Property	Solids, insoluble, dry atmospheric deposition, residue at 105 degrees Celsius, milligrams per kilogram
82465	Physical Property	Solids, soluble, dry atmospheric deposition, residue at 105 degrees Celsius, milligrams per kilogram
82466	Physical Property	Solids, total, dry atmospheric deposition, sum of constituents, milligrams per kilogram
82467	Physical Property	Solids, insoluble, dry atmospheric deposition, sum of constituents, milligrams per kilogram
82468	Physical Property	Solids, soluble, dry atmospheric deposition, sum of constituents, milligrams per kilogram
82550	Physical Property	Pressure, osmotic, water, unfiltered, milliosmoles per kilogram
82583	Physical Property	pH, soil, standard units
82632	Physical Property	Area, cross section, square feet
82903	Physical Property	Depth to bottom from water surface, at sampling location, meters
82923	Physical Property	Atmospheric deposition type, wet, code
83104	Physical Property	pH, wet atmospheric deposition, unfiltered, calculated, standard units
83105	Physical Property	Check solution pH, wet atmospheric deposition, unfiltered, standard units
83106	Physical Property	pH, wet atmospheric deposition, unfiltered, field, standard units
83107	Physical Property	pH, wet atmospheric deposition, unfiltered, lab, standard units
83150	Physical Property	Specific conductance, wet atmospheric deposition, filtered, calculated, microsiemens per centimeter at 25 degrees Celsius
